Order Number,Sample ID,PIMPS_1,PIMPS_2,HR,T,Date,FMPS_BLK,Remarks,end
MPS-1046-22,,173.1560,173.1575,19.4,36.2,2022/12/13 13:06:14,173.1568,,
MPS-1047-22,,181.4400,181.4438,19.4,36.2,2022/12/13 13:09:56,181.4419,,
MPS-1048-22,,164.7318,164.7321,19.4,36.2,2022/12/13 13:13:38,164.7320,,
MPS-1049-22,,180.6477,180.6482,19.4,36.2,2022/12/13 13:17:20,180.6480,,
MPS-1050-22,,162.6876,162.6868,19.4,36.2,2022/12/13 13:21:02,162.6872,,
MPS-1051-22,,180.1024,180.1026,19.4,36.2,2022/12/13 13:24:44,180.1025,,
QC,,199.9993,199.9993,21.2,42.3,2022/09/06 11:34:46,199.9993,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
